DevPost Project,SLP Address
https://devpost.com/software/swapcash,simpleledger:qrr7ye5gtemkn6stvnfhh762g234tc4c2sqhruyr2f
https://devpost.com/software/options-cash,simpleledger:qrt9q69sypxxaypugxptaaz57l4gnq0x4yvl0ns0f2
https://devpost.com/software/purelypeer,simpleledger:pqqjlxx4g7qxzlnj0dqk02g8me55vggcygjpfmfkx8
https://devpost.com/software/cash-blocks,simpleledger:qzsmp3zyxuyxzdc9xdx2z2ys7vuprehvtvqs0kg8t5
https://devpost.com/software/bitpal,simpleledger:qqjga3285te7ddwkgtl4ykmd83xxjte9lqjk62vke4
https://devpost.com/software/splitseed,simpleledger:qquqtxcd6jdkk8dp7cha2cryuur6vqt6tgsw89gfnj
https://devpost.com/software/paytaca,simpleledger:qpz3xnt2wu05as8970efah35tsjxc9yzeqmewq0xmf
https://devpost.com/software/hcaptcha-telegram-bot,simpleledger:qqjr0r5avz6x0vew9f9p4zyc5v8dzy7xushq3u5uq4
https://devpost.com/software/blinkit-ez5q19,simpleledger:qz60eknvvq7e4f7pvg63336zpl79mud7msyzan8d3c
https://devpost.com/software/marzipan,simpleledger:qqczwdlsvt02l9nu5q3zjw7uvl86xcn0gy6t7sjsu5
https://devpost.com/software/tommygun-s-coin-slot,simpleledger:qq3e6n00l6d3gqylfmtztqrz93jrchjwvcnuf8v9jw
https://devpost.com/software/chipotle-cash,simpleledger:qrq72ntvsrc5ulmxcydncse0ckwum7s6fczghpfpac
https://devpost.com/software/pangolin-ii/,simpleledger:qz3yn7t4u4y9j669hhrx5y7wlw0q6ajwnu7x9z3ef5
https://devpost.com/software/revolutionary-cash,simpleledger:qpke8tkyrpt47hhwuk4lf7c6mjlq4qnk4vm6yp4e3c
https://devpost.com/software/cyberscrum ,simpleledger:qzqn399ljyt6zv5mvas4ecmt3k2xmjgway7rrh0x5j
https://devpost.com/software/hedge-tracker-ctgr0u,simpleledger:qq063qtj6nu6vvv3ce4wkk5ssuqwf5yzfg8yr52nf2
https://devpost.com/software/onlycash,simpleledger:qplz7wwaya5d22s6a5er8sg50cezgyvg7sa4853647
https://devpost.com/software/bitcoin-apps,simpleledger:qqxtz0fw3gs5ndmwjm2we92k20zu3z99uuuxr25a2s
https://devpost.com/software/chimoney,simpleledger:qpk0c0tj3tjgg5pepmtcaalvfm4vqjx6agh3dm9245
https://devpost.com/software/slp-ship,simpleledger:qqjswgwgw87jvhh6a05wnjqgspzqc99l5qushk4wvh
https://devpost.com/software/oyster-card,simpleledger:qrma980lvxddyjf0x2nrrktwptmr8mjejvvavn508l
https://devpost.com/software/onlycoins,simpleledger:qqq2cs5rk7ryrete96xd8n6ckljplhhp9q58tykyve
https://devpost.com/software/chainbridge,simpleledger:qzzf6vpwes27m8nqhajau0m4fld4wpvz2u3849jcew
https://devpost.com/software/crypto-bot,simpleledger:qqg3yjcdhsqldqjp28aecj54q3p8t6j4dyzuq6jzv5
https://devpost.com/software/insideparty,simpleledger:qrxsxnztn505sglmazf0qg8kv6upprg2gc5f7x0sd4
https://devpost.com/software/open-source-repo-marketplace,simpleledger:qpnm7kf2sk9p5ln9635ea7x3tfuh76atguhgt90m3u
https://coinparty.devpost.com/submissions/202006-cointoys,simpleledger:qz3fj0264kfqjunvv6a9e3v2q2qt3akr0gq4qswaql
https://devpost.com/software/easy-nfts,simpleledger:qqpy2cwa2h9h4caqht9rpnm87e9rmc46ssxl4u3x7m
https://devpost.com/software/project-unity,simpleledger:qzu4zwcq6sfatnpgteawl3a73nezlgcjsyvrpkdakx
https://coinparty.devpost.com/submissions/199076-defi-coin-flips,simpleledger:qrpr4kyjv84dh8ux3cr4reatccfrhnmfpuy4j82h4w
https://coinparty.devpost.com/submissions/195309-slap,simpleledger:qqxz2ar6jzg9cacpy5w0vv5xvn79cv9p95srjx5qe6
https://coinparty.devpost.com/submissions/201936-skylar,simpleledger:qrr0pdxfgf4lgdenvx7cz56msrhfknl2agxevwva39
https://coinparty.devpost.com/submissions/201830-sagenet,simpleledger:qzrkyhe8v34845rjevptka2l4gcyzff0gy9ag9sdth